id,name,provider,level,amount,deadline,project_types,requirements,description,contact_info,application_url,status,technology,created_at,updated_at,verification_level,verification_date,verification_source,verification_notes,last_data_check,data_source,deadline_status,amount_verified,deadline_verified,next_check_due
46,NIST Manufacturing Extension Partnership,National Institute of Standards and Technology,federal,$150 million annually,Ongoing services,"[""Manufacturing Innovation"",""Technology Adoption"",""Small Business Support""]","[""Small-medium manufacturer"",""Technology needs""]",Support for manufacturers to adopt new technologies,,,active,efficiency,2025-06-26 04:15:28.984,2025-07-27 02:32:49.960246,2,2025-07-21 23:28:36.247165,Educational Institution Programs,University and research institution programs verified as existing categories,2025-07-22 15:55:12.057349,National Institute of Standards and Technology official programs,ongoing,f,f,2025-10-22 15:55:12.057349
60,Energy Efficient Commercial Buildings Deduction,IRS,federal,Varies by program,ongoing,"[""Energy Efficiency"",""Commercial""]",[],Commercial building owners who make energy-efficient improvements,,https://www.irs.gov/credits-deductions/energy-efficient-commercial-buildings-deduction,active,Energy Storage,2025-06-26 19:59:23.923,2025-07-27 02:32:49.960246,5,2025-07-20 19:33:56.695916,IRS Official Tax Programs,Federal tax credits and deductions verified through IRS sources,2025-07-22 22:44:32.382,https://www.irs.gov/credits-deductions/energy-efficient-commercial-buildings-deduction,ongoing,t,t,2025-07-29 22:44:32.382
2520,Residential Clean Energy Credit,Internal Revenue Service,federal,30% of qualified expenditures,N/A,"[""Solar electric property"",""Solar water heating property"",""Fuel cell property"",""Small wind energy property"",""Geothermal heat pump property"",""Battery storage technology""]","[""Taxpayers who install qualified clean energy property at their primary or secondary residence in the United States""]","The residential clean energy credit allows taxpayers to claim a credit for qualified clean energy property placed in service during the tax year. For tax years 2022-2032, the credit rate is 30% of qualified expenditures.",irs.gov,https://www.irs.gov/forms-pubs/about-form-5695,Active,Solar,2025-07-20 17:48:34.315858,2025-07-27 02:32:49.960246,2,2025-07-21 23:28:34.310041,Government Agency Categories,Government programs verified as existing categories requiring individual verification,2025-07-22 22:44:18.105,https://www.irs.gov/forms-pubs/about-form-5695,active,f,f,2025-10-22 15:55:12.057349
77,DOE Loan Programs Office - Advanced Technology Vehicles,Department of Energy,federal,$25 billion loan authority,ongoing,"[""Transportation/EV"",""Manufacturing""]","[""Manufacturing facility"",""Advanced technology""]",Loans for advanced technology vehicles manufacturing facilities,,https://www.energy.gov/lpo/advanced-technology-vehicles-manufacturing,active,Advanced Vehicles,2025-06-26 21:37:02.099,2025-07-27 02:32:49.960246,5,2025-07-20 18:58:50.744869,Official DOE Website,DOE loan programs and R&D funding verified through official sources,2025-07-22 22:44:32.265,https://www.energy.gov/lpo/advanced-technology-vehicles-manufacturing,ongoing,t,t,2025-07-29 22:44:32.265
89,Rocky Mountain Institute eLab Accelerator,Rocky Mountain Institute,private,Investment matching services,ongoing,"[""Innovation"",""Clean Energy Startups""]","[""Clean energy innovation"",""Startup company""]",Clean energy innovation accelerator and investment platform,,https://rmi.org/elab/,active,Clean Energy Innovation,2025-06-26 21:37:34.076,2025-07-27 02:32:49.960246,2,2025-07-21 23:28:36.247165,Educational Institution Programs,University and research institution programs verified as existing categories,2025-07-22 15:55:12.057349,https://rmi.org/elab/,ongoing,f,f,2025-10-22 15:55:12.057349
80,USDA Rural Business Development Grant,USDA,federal,"$500,000 maximum per grant",ongoing,"[""Rural Development"",""Business Development""]","[""Rural area"",""Business development""]",Grants for rural business development including clean energy projects,,https://www.rd.usda.gov/programs-services/business-programs/rural-business-development-grants,active,Rural Business,2025-06-26 21:37:02.099,2025-07-27 02:32:49.960246,3,2025-07-21 23:31:06.547746,Federal Agency Program Verification,Legitimate federal agency programs upgraded from flagged status,2025-07-22 15:55:12.057349,https://www.rd.usda.gov/programs-services/business-programs/rural-business-development-grants,ongoing,f,f,2025-08-22 15:55:12.057349
82,NYSERDA FlexTech Program,NYSERDA,state,"Up to $100,000 per project",ongoing,"[""Energy Efficiency"",""Renewable Energy""]","[""New York facility"",""Energy study""]",Cost-shared studies for energy efficiency and renewable energy,,https://www.nyserda.ny.gov/All-Programs/FlexTech-Program,active,Energy Studies,2025-06-26 21:37:34.076,2025-07-27 02:32:49.960246,4,2025-07-21 23:27:45.109256,NYSERDA Official Program Categories,NYSERDA programs verified as legitimate program categories through official sources,2025-07-22 15:55:12.057349,https://www.nyserda.ny.gov/All-Programs/FlexTech-Program,ongoing,t,t,2025-07-29 15:55:12.057349
90,DOE Office of Science Small Business Innovation Research,Department of Energy,federal,$1.5 million maximum per project,ongoing,"[""Small Business"",""Research & Development""]","[""Small business"",""Clean energy innovation""]",SBIR grants for small businesses developing clean energy technologies,,https://science.osti.gov/sbir,active,Clean Energy R&D,2025-06-26 21:38:25.821,2025-07-27 02:32:49.960246,3,2025-07-21 23:27:46.425535,DOE Program Categories,DOE programs verified as legitimate department programs,2025-07-22 15:55:12.057349,https://science.osti.gov/sbir,ongoing,f,f,2025-08-22 15:55:12.057349
2,45L New Energy Efficient Home Credit,IRS (IRA Enhanced),Federal,"$2,500-$5,000/unit",Through 2032,"[""New Construction"",""Multifamily"",""Energy Star""]","[""Energy Star certification required"",""$5,000 for Zero Energy Ready"",""Prevailing wage required"",""3 stories or less""]",Federal tax credit for builders of energy efficient residential homes and multifamily projects.,IRS.gov/Form8908,https://www.energystar.gov/partner_resources/residential_new/homes_prog_reqs/45l_fed_tax_credit,active,efficiency,2025-07-18 23:19:04.978417,2025-07-27 02:32:49.960246,3,2025-07-21 23:38:04.601866,Government Agency Verification,Government agencies verified as legitimate program categories,2025-07-22 22:44:18.164,https://www.energystar.gov/partner_resources/residential_new/homes_prog_reqs/45l_fed_tax_credit,active,f,f,2025-08-22 15:55:12.057349
5,Con Edison C&I Energy Efficiency,Con Edison,Utility,Up to $1M electric/$250K gas,Ongoing,"[""Custom Measures"",""Prescriptive"",""Whole Building""]","["">100kW peak demand"",""50% cost cap per measure"",""Pre-approval required"",""Queens/Brooklyn bonus available""]",Rebates and incentives for energy efficiency projects in Con Edison service territory.,commercialprograms@coned.com,https://coned.com/en/save-money/rebates-incentives-tax-credits/rebates-incentives-tax-credits-for-commercial-industrial-buildings-customers,active,efficiency,2025-07-18 23:19:05.164741,2025-07-27 02:32:49.960246,2,2025-07-21 23:38:58.31999,Final Review - Legitimate Organizations,Final verification of remaining legitimate programs,2025-07-22 15:55:12.057349,https://coned.com/en/save-money/rebates-incentives-tax-credits/rebates-incentives-tax-credits-for-commercial-industrial-buildings-customers,ongoing,f,f,2025-10-22 15:55:12.057349
103,Commerce Economic Development Administration,Commerce EDA,federal,$3 billion investment capacity,ongoing,"[""Economic Development"",""Infrastructure""]","[""Economic distress"",""Job creation""]",Economic development assistance including clean energy infrastructure projects,,https://www.eda.gov/funding/programs/,active,Economic Development,2025-06-26 21:43:10.092,2025-07-27 02:32:49.960246,4,2025-07-20 18:58:13.174682,Federal Agency Websites,Federal programs verified against agency sources,2025-07-22 15:55:12.057349,https://www.eda.gov/funding/programs/,ongoing,t,t,2025-07-29 15:55:12.057349
116,Connecticut Green Bank C-PACE,Connecticut Green Bank,state,$2 billion financing capacity,ongoing,"[""PACE Financing"",""Commercial Property""]","[""Connecticut commercial property"",""Energy improvements""]",Commercial Property Assessed Clean Energy financing for Connecticut,,https://www.ctgreenbank.com/c-pace/,active,Green Finance,2025-06-26 21:43:34.924,2025-07-27 02:32:49.960246,5,2025-07-20 18:58:52.453926,Connecticut Green Bank Official Website,Connecticut Green Bank PACE financing programs verified,2025-07-22 22:44:32.499,https://www.ctgreenbank.com/c-pace/,ongoing,t,t,2025-07-29 22:44:32.499
112,NYSERDA Real Time Energy Management,NYSERDA,state,$40 million program,ongoing,"[""Energy Management"",""Demand Response""]","[""New York business"",""Energy management system""]",Incentives for real-time energy management systems and demand response,,https://www.nyserda.ny.gov/All-Programs/Real-Time-Energy-Management,active,Energy Management,2025-06-26 21:43:34.924,2025-07-27 02:32:49.960246,4,2025-07-21 23:27:45.109256,NYSERDA Official Program Categories,NYSERDA programs verified as legitimate program categories through official sources,2025-07-22 15:55:12.057349,https://www.nyserda.ny.gov/All-Programs/Real-Time-Energy-Management,ongoing,t,t,2025-07-29 15:55:12.057349
113,NYSERDA NY-Sun Initiative,NYSERDA,state,$1.8 billion solar commitment,ongoing,"[""Solar Energy"",""Renewable Energy""]","[""New York location"",""Solar installation""]",Comprehensive solar incentive program for residential and commercial installations,,https://www.nyserda.ny.gov/All-Programs/NY-Sun,active,Solar Power,2025-06-26 21:43:34.924,2025-07-27 02:32:49.960246,4,2025-07-21 23:27:45.109256,NYSERDA Official Program Categories,NYSERDA programs verified as legitimate program categories through official sources,2025-07-22 15:55:12.057349,https://www.nyserda.ny.gov/All-Programs/NY-Sun,ongoing,t,t,2025-07-29 15:55:12.057349
99,Ford Foundation Building Futures,Ford Foundation,foundation,$1 billion commitment,ongoing,"[""Equitable Development"",""Social Justice""]","[""Social impact"",""Equitable development""]",Investments in equitable development including clean energy access,,https://www.fordfoundation.org/about/working-with-us/,active,Social Impact,2025-06-26 21:38:25.821,2025-07-27 02:32:49.960246,2,2025-07-20 19:33:39.825049,Foundation Public Commitments,Private foundation programs - amounts subject to allocation decisions,2025-07-22 15:55:12.057349,https://www.fordfoundation.org/about/working-with-us/,ongoing,f,f,2025-10-22 15:55:12.057349
121,Bezos Earth Fund Climate Pledge,Bezos Earth Fund,foundation,$10 billion climate commitment,ongoing,"[""Climate Solutions"",""Nature Solutions""]","[""Climate impact"",""Nature conservation""]",Massive funding for climate and nature solutions including clean energy,,https://www.bezosearthfund.org/,active,Climate Fund,2025-06-26 21:43:59.276,2025-07-27 02:32:49.960246,3,2025-07-20 18:58:16.080639,Foundation Public Announcements,Foundation commitments verified through public announcements - amounts may vary by allocation,2025-07-22 15:55:12.057349,https://www.bezosearthfund.org/,ongoing,f,f,2025-08-22 15:55:12.057349
127,Department of Transportation RAISE Grants,DOT,federal,$1.5 billion transportation funding,ongoing,"[""Transportation"",""Infrastructure""]","[""Transportation project"",""Infrastructure improvement""]",Infrastructure grants including electric vehicle and sustainable transportation,,https://www.transportation.gov/RAISEgrants,active,Transportation Infrastructure,2025-06-26 21:43:59.276,2025-07-27 02:32:49.960246,3,2025-07-21 23:27:29.605906,Federal Agency Program Categories,Federal programs verified as legitimate agency categories - amounts require project-specific verification,2025-07-22 15:55:12.057349,https://www.transportation.gov/RAISEgrants,ongoing,f,f,2025-08-22 15:55:12.057349
138,DOE Geothermal Technologies Office,Department of Energy,federal,$84 million program funding,ongoing,"[""Geothermal Energy"",""Research & Development""]","[""Geothermal technology"",""Research capability""]",Research and development funding for geothermal energy technologies,,https://www.energy.gov/eere/geothermal,active,Geothermal,2025-06-26 21:45:08.883,2025-07-27 02:32:49.960246,3,2025-07-21 23:27:46.425535,DOE Program Categories,DOE programs verified as legitimate department programs,2025-07-22 15:55:12.057349,https://www.energy.gov/eere/geothermal,ongoing,f,f,2025-08-22 15:55:12.057349
131,Clean Energy States Alliance Programs,CESA,private,$10 billion state coordination,ongoing,"[""State Programs"",""Clean Energy Policy""]","[""State agency"",""Clean energy program""]",Coordination of state clean energy programs and financing mechanisms,,https://www.cesa.org/,active,Policy Coordination,2025-06-26 21:44:28.605,2025-07-27 02:32:49.960246,2,2025-07-21 23:27:34.281338,Foundation and NGO Programs,Foundation programs verified as existing categories - funding subject to allocation and application processes,2025-07-22 15:55:12.057349,https://www.cesa.org/,ongoing,f,f,2025-10-22 15:55:12.057349
140,USDA Forest Service Carbon Utilization,USDA Forest Service,federal,$50 million carbon program,ongoing,"[""Forest Carbon"",""Biomass Energy""]","[""Forest management"",""Carbon utilization""]",Forest carbon utilization and biomass energy development programs,,https://www.fs.usda.gov/research/treesearch/carbon,active,Forest Biomass,2025-06-26 21:45:08.883,2025-07-27 02:32:49.960246,2,2025-07-21 23:28:34.310041,Government Agency Categories,Government programs verified as existing categories requiring individual verification,2025-07-22 15:55:12.057349,https://www.fs.usda.gov/research/treesearch/carbon,ongoing,f,f,2025-10-22 15:55:12.057349
155,New York Green Jobs-Green New York Financing,NYSERDA,state,$200 million financing pool,ongoing,"[""On-Bill Financing"",""Energy Efficiency""]","[""New York property"",""Energy improvements""]",On-bill financing for comprehensive energy efficiency improvements statewide,,https://www.nyserda.ny.gov/gjgny,active,Energy Finance,2025-06-26 21:54:01.386,2025-07-27 02:32:49.960246,4,2025-07-21 23:27:45.109256,NYSERDA Official Program Categories,NYSERDA programs verified as legitimate program categories through official sources,2025-07-22 15:55:12.057349,https://www.nyserda.ny.gov/gjgny,ongoing,t,t,2025-07-29 15:55:12.057349
156,NY Prize Community Microgrid Competition,NYSERDA,state,$40 million microgrid funding,ongoing,"[""Microgrids"",""Community Energy""]","[""New York community"",""Microgrid project""]",Funding for community microgrid feasibility studies and implementation,,https://www.nyserda.ny.gov/All-Programs/NY-Prize,active,Microgrids,2025-06-26 21:54:01.386,2025-07-27 02:32:49.960246,4,2025-07-21 23:27:45.109256,NYSERDA Official Program Categories,NYSERDA programs verified as legitimate program categories through official sources,2025-07-22 15:55:12.057349,https://www.nyserda.ny.gov/All-Programs/NY-Prize,ongoing,t,t,2025-07-29 15:55:12.057349
157,NY Truck Voucher Incentive Program,NYSERDA,state,$65 million electric truck program,ongoing,"[""Electric Vehicles"",""Commercial Transportation""]","[""New York business"",""Commercial vehicle""]",Vouchers for medium and heavy-duty electric vehicle purchases in New York,,https://www.nyserda.ny.gov/All-Programs/Truck-Voucher-Program,active,Electric Commercial Vehicles,2025-06-26 21:54:01.386,2025-07-27 02:32:49.960246,4,2025-07-21 23:27:45.109256,NYSERDA Official Program Categories,NYSERDA programs verified as legitimate program categories through official sources,2025-07-22 15:55:12.057349,https://www.nyserda.ny.gov/All-Programs/Truck-Voucher-Program,ongoing,t,t,2025-07-29 15:55:12.057349
35,Duke Energy Progress Solar Rebate Program,Duke Energy,utility,$62 million program,First-come basis,"[""Residential Solar"",""Small Commercial Solar""]","[""Duke Energy customer"",""System size limits""]",Upfront rebates for solar installations,,,active,efficiency,2025-06-26 04:14:36.841,2025-07-27 02:32:49.960246,4,2025-07-21 23:31:09.459644,Additional Utility Company Verification,Legitimate utility company programs verified and upgraded,2025-07-22 22:44:18.223,Duke Energy official programs,active,t,f,2025-07-29 15:55:12.057349
40,Tennessee Valley Authority Green Power Providers,Tennessee Valley Authority,utility,$500 million investment,Long-term contracts,"[""Renewable Energy"",""Solar"",""Wind"",""Biomass""]","[""TVA service territory"",""Green power certification""]",Renewable energy procurement program,,,active,efficiency,2025-06-26 04:15:16.316,2025-07-27 02:32:49.960246,4,2025-07-21 23:38:02.663135,Utility and System Operator Verification,Utilities and system operators verified as legitimate entities,2025-07-22 22:44:18.282,Tennessee Valley Authority official programs,active,t,f,2025-07-29 15:55:12.057349
41,Pacific Gas and Electric Energy Efficiency Programs,Pacific Gas and Electric,utility,$300 million annually,Ongoing programs,"[""Residential Efficiency"",""Commercial Efficiency"",""Industrial Programs""]","[""PG&E customer"",""Qualified measures""]",Comprehensive energy efficiency rebates and incentives,,,active,efficiency,2025-06-26 04:15:22.136,2025-07-27 02:32:49.960246,4,2025-07-21 23:31:09.459644,Additional Utility Company Verification,Legitimate utility company programs verified and upgraded,2025-07-22 15:55:12.057349,Pacific Gas and Electric official programs,ongoing,t,t,2025-07-29 15:55:12.057349
163,NY State Clean Energy Fund,NYSERDA,state,$5 billion clean energy investment,ongoing,"[""Clean Energy Market"",""Technology Deployment""]","[""New York market"",""Clean energy technology""]",Comprehensive clean energy market development and technology deployment fund,,https://www.nyserda.ny.gov/About/Clean-Energy-Fund,active,Clean Energy Fund,2025-06-26 21:54:23.373,2025-07-27 02:32:49.960246,4,2025-07-21 23:27:45.109256,NYSERDA Official Program Categories,NYSERDA programs verified as legitimate program categories through official sources,2025-07-22 15:55:12.057349,https://www.nyserda.ny.gov/About/Clean-Energy-Fund,ongoing,t,t,2025-07-29 15:55:12.057349
42,Xcel Energy Partners in Energy Programs,Xcel Energy,utility,$80 million annually,Ongoing customer programs,"[""Residential Efficiency"",""Business Efficiency"",""Renewable Energy""]","[""Xcel Energy customer"",""Program participation""]",Customer energy efficiency and renewable energy programs,,,active,efficiency,2025-06-26 04:15:22.136,2025-07-27 02:32:49.960246,4,2025-07-21 23:31:09.459644,Additional Utility Company Verification,Legitimate utility company programs verified and upgraded,2025-07-22 15:55:12.057349,Xcel Energy official programs,ongoing,t,t,2025-07-29 15:55:12.057349
43,Commonwealth Edison Energy Efficiency Programs,Commonwealth Edison,utility,$150 million annually,Ongoing rebates,"[""Home Energy Efficiency"",""Business Programs"",""Custom Projects""]","[""ComEd customer"",""Energy efficiency measures""]",State-mandated energy efficiency programs for Illinois customers,,,active,efficiency,2025-06-26 04:15:22.136,2025-07-27 02:32:49.960246,4,2025-07-21 23:31:09.459644,Additional Utility Company Verification,Legitimate utility company programs verified and upgraded,2025-07-22 15:55:12.057349,Commonwealth Edison official programs,ongoing,t,t,2025-07-29 15:55:12.057349
48,Bloomberg Philanthropies American Cities Climate Challenge,Bloomberg Philanthropies,foundation,$70 million program,Multi-year city partnerships,"[""Urban Climate Action"",""City Programs"",""Innovation""]","[""City partnership"",""Climate commitment""]",Support for ambitious climate action in American cities,,,active,efficiency,2025-06-26 04:19:37.848,2025-07-27 02:32:49.960246,2,2025-07-21 23:31:10.781879,Major Foundation Program Verification,Major foundation climate programs verified as legitimate categories,2025-07-22 22:44:18.344,Bloomberg Philanthropies official programs,active,f,f,2025-10-22 15:55:12.057349
49,Kresge Foundation Climate Resilience and Urban Opportunity Initiative,Kresge Foundation,foundation,$100 million investment,Multi-year program,"[""Climate Resilience"",""Community Development"",""Environmental Justice""]","[""Low-income communities"",""Climate vulnerability""]",Building climate resilience in low-income urban communities,,,active,efficiency,2025-06-26 04:19:37.848,2025-07-27 02:32:49.960246,2,2025-07-21 23:31:10.781879,Major Foundation Program Verification,Major foundation climate programs verified as legitimate categories,2025-07-22 22:44:18.403,Kresge Foundation official programs,active,f,f,2025-10-22 15:55:12.057349
84,NY ESD Excelsior Jobs Program,New York ESD,state,Up to $100 million per project,ongoing,"[""Job Creation"",""Clean Energy""]","[""Job creation"",""Strategic industry""]",Tax credits for job creation in strategic industries including clean energy,,https://esd.ny.gov/excelsior-jobs-program,active,Economic Development,2025-06-26 21:37:34.076,2025-07-27 02:32:49.960246,2,2025-07-21 23:38:58.31999,Final Review - Legitimate Organizations,Final verification of remaining legitimate programs,2025-07-22 15:55:12.057349,https://esd.ny.gov/excelsior-jobs-program,ongoing,f,f,2025-10-22 15:55:12.057349
85,ConEd Commercial Electric Vehicle Incentives,Consolidated Edison,utility,"Up to $100,000 per site",ongoing,"[""Transportation/EV"",""Commercial""]","[""ConEd service territory"",""Commercial customer""]",Incentives for commercial electric vehicle charging infrastructure,,https://www.coned.com/en/commercial-industrial/energy-efficiency/electric-vehicles,active,Electric Vehicles,2025-06-26 21:37:34.076,2025-07-27 02:32:49.960246,4,2025-07-21 23:31:09.459644,Additional Utility Company Verification,Legitimate utility company programs verified and upgraded,2025-07-22 15:55:12.057349,https://www.coned.com/en/commercial-industrial/energy-efficiency/electric-vehicles,ongoing,t,t,2025-07-29 15:55:12.057349
97,PSEG Long Island Commercial Efficiency,PSEG Long Island,utility,$50 million program budget,ongoing,"[""Commercial Efficiency"",""Utility Programs""]","[""PSEG service territory"",""Commercial customer""]",Commercial energy efficiency rebates and incentives program,,https://www.psegliny.com/page.cfm/Commercial,active,Utility Efficiency,2025-06-26 21:38:25.821,2025-07-27 02:32:49.960246,4,2025-07-21 23:31:09.459644,Additional Utility Company Verification,Legitimate utility company programs verified and upgraded,2025-07-22 15:55:12.057349,https://www.psegliny.com/page.cfm/Commercial,ongoing,t,t,2025-07-29 15:55:12.057349
98,New York Power Authority Economic Development,NYPA,state,$8 billion investment authority,ongoing,"[""Economic Development"",""Power Authority""]","[""New York business"",""Economic development""]",Low-cost power and energy services for economic development projects,,https://www.nypa.gov/services/economic-development,active,Public Power,2025-06-26 21:38:25.821,2025-07-27 02:32:49.960246,4,2025-07-21 23:31:09.459644,Additional Utility Company Verification,Legitimate utility company programs verified and upgraded,2025-07-22 15:55:12.057349,https://www.nypa.gov/services/economic-development,ongoing,t,t,2025-07-29 15:55:12.057349
117,Consolidated Edison Energy Efficiency Programs,Con Edison,utility,$100 million annually,ongoing,"[""Energy Efficiency"",""Utility Programs""]","[""ConEd service territory"",""Energy efficiency measures""]",Comprehensive commercial and residential energy efficiency rebates and incentives,,https://www.coned.com/en/save-money/rebates-incentives,active,Utility Efficiency,2025-06-26 21:43:34.924,2025-07-27 02:32:49.960246,2,2025-07-21 23:38:58.31999,Final Review - Legitimate Organizations,Final verification of remaining legitimate programs,2025-07-22 15:55:12.057349,https://www.coned.com/en/save-money/rebates-incentives,ongoing,f,f,2025-10-22 15:55:12.057349
128,American Forest Foundation Family Forest Carbon Program,American Forest Foundation,private,$100 million carbon market,ongoing,"[""Carbon Credits"",""Forestry""]","[""Forest ownership"",""Sustainable practices""]",Carbon credit programs for family forest owners including sustainable forestry,,https://www.forestfoundation.org/family-forest-carbon-program,active,Forest Carbon,2025-06-26 21:44:28.605,2025-07-27 02:32:49.960246,2,2025-07-21 23:38:58.31999,Final Review - Legitimate Organizations,Final verification of remaining legitimate programs,2025-07-22 15:55:12.057349,https://www.forestfoundation.org/family-forest-carbon-program,ongoing,f,f,2025-10-22 15:55:12.057349
129,Nature Conservancy NatureVest,The Nature Conservancy,private,$2 billion investment capacity,ongoing,"[""Conservation Finance"",""Natural Climate Solutions""]","[""Conservation impact"",""Environmental return""]",Conservation investments including natural climate solutions and renewable energy,,https://www.nature.org/en-us/about-us/who-we-are/how-we-work/naturevest/,active,Conservation Investment,2025-06-26 21:44:28.605,2025-07-27 02:32:49.960246,2,2025-07-21 23:38:58.31999,Final Review - Legitimate Organizations,Final verification of remaining legitimate programs,2025-07-22 15:55:12.057349,https://www.nature.org/en-us/about-us/who-we-are/how-we-work/naturevest/,ongoing,f,f,2025-10-22 15:55:12.057349
