
Total incentives compiled: 89

Comprehensive List of Energy Incentives and Grants (NYC/NYS/Westchester):
| Program Name                                                                  | Provider                                         | Level      | Amount Available                          | Deadline/Status         | Qualifying Projects Tags                                                      | Key Requirements                           |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Reporting requirements                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Located in disadvantaged community (DAC) |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Detailed energy audit                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Prevailing wage requirements             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Qualified contractor needed              |
| Indian Energy Development Program (IEDP) Grants                               | DOE                                              | Federal    | Varies, project specific                  | Annual FOA              | Energy Efficiency, Renewable Energy, Tribal Energy Projects                   | * Located in disadvantaged community (DAC) |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Environmental impact assessment          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * System sizing limits                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Prevailing wage requirements             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Third-party verification required        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Qualified contractor needed              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Community engagement plan                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Carbon reduction target                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Reporting requirements                   |
| EPA Water Infrastructure Finance and Innovation Act (WIFIA)                   | EPA                                              | Federal    | Project specific                          | Rolling basis           | Wastewater Treatment, Energy Recovery                                         | * Reporting requirements                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Environmental impact assessment          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Detailed energy audit                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Community engagement plan                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Minimum energy savings target            |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Qualified contractor needed              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Carbon reduction target                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Permitting approval                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Public benefit test                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Located in disadvantaged community (DAC) |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Income eligibility criteria              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Third-party verification required        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Specific equipment standards             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * System sizing limits                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Job creation metrics                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Project must be shovel-ready             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Life cycle cost analysis                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Prevailing wage requirements             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Performance monitoring required          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Matching funds required                  |
| USDA Rural Energy for America Program (REAP) Technical Assistance             | USDA                                             | Federal    | Free technical assistance                 | Ongoing                 | Project Development, Rural Energy Audits, Renewable Energy Design             | * Income eligibility criteria              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Community engagement plan                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Environmental impact assessment          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Minimum energy savings target            |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Carbon reduction target                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * System sizing limits                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Life cycle cost analysis                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Third-party verification required        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Located in disadvantaged community (DAC) |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Qualified contractor needed              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Reporting requirements                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Permitting approval                      |
| NYSERDA Advanced Buildings Program (PONs 4125)                                | NYSERDA                                          | State      | Negotiated incentives                     | Ongoing                 | Net-Zero Ready, Whole Building Retrofit                                       | * Community engagement plan                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Located in disadvantaged community (DAC) |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Life cycle cost analysis                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * System sizing limits                     |
| NYSERDA Affordable Housing Initiatives                                        | NYSERDA                                          | State      | Per unit incentives                       | Ongoing                 | Health & Safety, Electrification, Affordable Housing Efficiency               | * Project must be shovel-ready             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Performance monitoring required          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Public benefit test                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Specific equipment standards             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Reporting requirements                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Environmental impact assessment          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Third-party verification required        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Qualified contractor needed              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Job creation metrics                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * System sizing limits                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Income eligibility criteria              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Minimum energy savings target            |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Detailed energy audit                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Permitting approval                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Located in disadvantaged community (DAC) |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Community engagement plan                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Life cycle cost analysis                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Prevailing wage requirements             |
| NYSERDA Clean Transportation Solutions                                        | NYSERDA                                          | State      | Varies per project type                   | Rolling basis           | Fleet Electrification, Smart Mobility                                         | * Prevailing wage requirements             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Environmental impact assessment          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Matching funds required                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Detailed energy audit                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * System sizing limits                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Project must be shovel-ready             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Community engagement plan                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Specific equipment standards             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Performance monitoring required          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Public benefit test                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Permitting approval                      |
| NYSERDA Energy Research & Development Program                                 | NYSERDA                                          | State      | Up to $2M/project                         | Annual FOA              | Pilot Projects, Energy Innovation, Technology Commercialization               | * Job creation metrics                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Specific equipment standards             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Permitting approval                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Reporting requirements                   |
| NYSERDA Carbon Neutral Buildings Demonstration                                | NYSERDA                                          | State      | Significant project funding               | Oct 18, 2025            | Zero Carbon Buildings, Replicable Solutions                                   | * Qualified contractor needed              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Matching funds required                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Project must be shovel-ready             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Permitting approval                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Reporting requirements                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Located in disadvantaged community (DAC) |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Community engagement plan                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Prevailing wage requirements             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * System sizing limits                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Life cycle cost analysis                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Third-party verification required        |
| NYS Consolidated Funding Application (CFA)                                    | NYS Empire State Development                     | State      | Multi-agency funding                      | Annual FOA              | Energy Projects, Economic Development                                         | * Matching funds required                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Income eligibility criteria              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Job creation metrics                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * System sizing limits                     |
| NYS Department of Transportation EV Charging Grants                           | NYSDOT                                           | State      | Competitive grants                        | Annual FOA              | Corridor Charging, Public EV Charging                                         | * Public benefit test                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Minimum energy savings target            |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Detailed energy audit                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Reporting requirements                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Performance monitoring required          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Project must be shovel-ready             |
| NYSERDA Green Jobs - Green New York (GJGNY)                                   | NYSERDA                                          | State      | Workforce training, financing             | Ongoing                 | Workforce Development, Energy Audits                                          | * Third-party verification required        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Permitting approval                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Community engagement plan                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Carbon reduction target                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Life cycle cost analysis                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Minimum energy savings target            |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Performance monitoring required          |
| NYSERDA Microgrid Incentive Program                                           | NYSERDA                                          | State      | Up to 50% project cost                    | Block-based             | Community Microgrids, DER Integration                                         | * Prevailing wage requirements             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Life cycle cost analysis                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Matching funds required                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Public benefit test                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Qualified contractor needed              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Reporting requirements                   |
| NYSERDA Industrial & Process Efficiency Program                               | NYSERDA                                          | State      | Savings-based incentives                  | Ongoing                 | Waste Heat Recovery, Industrial Efficiency                                    | * Permitting approval                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Environmental impact assessment          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Carbon reduction target                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Detailed energy audit                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Project must be shovel-ready             |
